chr	start	end	strand	shifting_score	shift_in_bp	dominant_peak_maternal	dominant_peak_zygotic	ensembl_gene_id	gene_start	gene_end	tss	entrezgene	external_gene_id	gene_biotype
chr5	72834259	72834357	-	0.691776359	12	72834306	72834294	ENSDARG00000024818	72825083	72834302	72834302	100004718	rilpl2	protein_coding
chr5	75293069	75293186	-	0.67541752	40	75293177	75293137	ENSDARG00000035188	75288385	75292187	75292187	393656	rab14l	protein_coding
chr6	2538	2629	+	0.786167662	-26	2627	2601	ENSDARG00000059581	2609	13949	2609	NA	MBD5	protein_coding
chr6	244134	244529	+	0.633415839	243	244234	244477	NA	NA	NA	NA	NA	NA	NA
chr6	3678863	3679039	+	0.634196614	36	3678901	3678937	ENSDARG00000015126	3678916	3689991	3678916	393676	gorasp2	protein_coding
chr6	9198469	9198487	+	0.765690631	11	9198473	9198484	ENSDARG00000071198	9198501	9204155	9198501	567944	FOPNL	protein_coding
chr6	12898742	12898804	+	0.712396529	3	12898780	12898783	NA	NA	NA	NA	NA	NA	NA
chr6	12936388	12936450	+	0.663853378	-49	12936450	12936401	ENSDARG00000071032	12936368	12949735	12936368	497562	pnkd	protein_coding
chr6	13142959	13143193	+	0.656837357	-5	13142965	13142960	ENSDARG00000062226	13142909	13164826	13142909	563304	ino80db	protein_coding
chr6	19350193	19350292	+	0.657880174	29	19350194	19350223	ENSDARG00000059469	19350251	19357889	19350251	566236	C6H17orf42	protein_coding
chr6	21708966	21709056	+	0.711242404	-44	21709054	21709010	ENSDARG00000014727	21708967	21724572	21708967	449662	acox1	protein_coding
chr6	23710069	23710203	+	0.639804944	84	23710072	23710156	ENSDARG00000052351	23711125	23726986	23711125	NA	ZXDA	protein_coding
chr6	24021382	24021524	+	0.656756914	53	24021438	24021491	ENSDARG00000052304	24021387	24036382	24021387	393793	uqcrc1	protein_coding
chr6	26983907	26983946	+	0.635315451	34	26983910	26983944	ENSDARG00000073813	26983944	27001142	26983944	559537	scly	protein_coding
chr6	28007937	28008107	+	0.634935027	23	28008037	28008060	ENSDARG00000023578	28007995	28404466	28007995	573024	lpp	protein_coding
chr6	29100525	29100699	+	0.669236912	-54	29100624	29100570	ENSDARG00000070828	29100524	29109500	29100524	192313	actl6a	protein_coding
chr6	37390109	37390167	+	0.699236293	-7	37390147	37390140	NA	NA	NA	NA	NA	NA	NA
chr6	37572033	37572082	+	0.69892988	10	37572042	37572052	ENSDARG00000077442	37572041	37600291	37572041	553191	tubgcp5	protein_coding
chr6	38811011	38811127	+	0.656808805	53	38811057	38811110	ENSDARG00000010255	38811030	38824363	38811030	327387	bin2b	protein_coding
chr6	40882714	40882814	+	0.663120913	-38	40882812	40882774	ENSDARG00000076584	40882895	40895018	40882895	560290	PATZ1	protein_coding
chr6	43165680	43165870	+	0.695075578	9	43165701	43165710	ENSDARG00000077044	43165513	43172878	43165513	450076	arl6ip5a	protein_coding
chr6	46369011	46369159	+	0.640953024	-116	46369157	46369041	ENSDARG00000044182	46369038	46392004	46369038	334440	stau1	protein_coding
chr6	49503211	49503496	+	0.616879068	-9	49503289	49503280	ENSDARG00000015807	49503280	49531752	49503280	100001531	rab22a	protein_coding
chr6	52186230	52186266	+	0.724822412	13	52186233	52186246	ENSDARG00000038577	52186260	52192348	52186260	494577	COX6C	protein_coding
chr6	54142759	54142827	+	0.670038015	-26	54142821	54142795	ENSDARG00000042128	54142801	54226707	54142801	619246	pacsin1b	protein_coding
chr6	54635909	54636001	+	0.632130204	-46	54635978	54635932	NA	NA	NA	NA	NA	NA	NA
chr6	58190687	58190780	+	0.639282469	-27	58190771	58190744	NA	NA	NA	NA	NA	NA	NA
chr6	58425238	58425381	+	0.652498208	-17	58425292	58425275	ENSDARG00000057857	58425482	58435774	58425482	503602	arfrp1	protein_coding
chr6	59580219	59580440	+	0.676184596	-47	59580438	59580391	ENSDARG00000059794	59580423	59621279	59580423	569207	kdm6al	protein_coding
chr6	314130	314444	-	0.760236135	-37	314360	314397	ENSDARG00000036612	312002	314397	314397	494045	ift27	protein_coding
chr6	3852881	3852964	-	0.716223554	36	3852918	3852882	ENSDARG00000029218	3775245	3852968	3852968	337675	slc25a12	protein_coding
chr6	4098594	4098684	-	0.680542342	50	4098681	4098631	NA	NA	NA	NA	NA	NA	NA
chr6	7603405	7603445	-	0.683048049	-23	7603410	7603433	ENSDARG00000063062	7576391	7603409	7603409	555525	ubn2	protein_coding
chr6	10664356	10664465	-	0.707176561	33	10664435	10664402	ENSDARG00000044565	10652213	10664451	10664451	326864	ola1	protein_coding
chr6	12162431	12162600	-	0.668492928	87	12162577	12162490	NA	NA	NA	NA	NA	NA	NA
chr6	16373728	16373778	-	0.690801217	-33	16373730	16373763	ENSDARG00000059712	16354374	16373895	16373895	569085	SLC19A2	protein_coding
chr6	23830234	23830301	-	0.679295723	21	23830285	23830264	ENSDARG00000038537	23803980	23830258	23830258	798361	gga1	protein_coding
chr6	28873672	28873765	-	0.673136281	9	28873733	28873724	ENSDARG00000017886	28858934	28873684	28873684	555217	ZBTB11	protein_coding
chr6	29116248	29116394	-	0.716789024	27	29116376	29116349	ENSDARG00000075743	29111457	29116325	29116325	557789	MRPL47	protein_coding
chr6	34693947	34694092	-	0.663250472	-12	34694054	34694066	ENSDARG00000059575	34685403	34694030	34694030	767721	uhmk1	protein_coding
chr6	39561950	39562127	-	0.755296606	-5	39562092	39562097	NA	NA	NA	NA	NA	NA	NA
chr6	39597381	39597437	-	0.713955624	16	39597435	39597419	ENSDARG00000035043	39592452	39597586	39597586	568182	pfdn5	protein_coding
chr6	40699521	40699594	-	0.682330942	30	40699565	40699535	ENSDARG00000054063	40692490	40699590	40699590	114456	arpc4	protein_coding
chr6	41980177	41980251	-	0.651461532	-21	41980193	41980214	ENSDARG00000003961	41969222	41980214	41980214	335495	parp3	protein_coding
chr6	42300317	42300544	-	0.687865696	6	42300410	42300404	ENSDARG00000014770	42277420	42300392	42300392	449927	usp4	protein_coding
chr6	48287956	48288014	-	0.651277239	11	48287979	48287968	ENSDARG00000034240	48263842	48287992	48287992	327029	capza1a	protein_coding
chr6	49499177	49499375	-	0.691158784	-54	49499310	49499364	ENSDARG00000079289	49475700	49499152	49499152	NA	CABZ01046184.1	protein_coding
chr6	50355971	50356080	-	0.685515924	8	50356032	50356024	ENSDARG00000038076	50352923	50356035	50356035	393770	ROMO1	protein_coding
chr6	54081573	54081633	-	0.661671441	54	54081633	54081579	ENSDARG00000052875	54072175	54081564	54081564	768156	TUSC2 (2 of 2)	protein_coding
chr6	57435385	57435565	-	0.725977008	-53	57435445	57435498	ENSDARG00000011125	57428413	57435485	57435485	402966	snrpb	protein_coding
chr6	59768551	59768603	-	0.749136844	-43	59768555	59768598	ENSDARG00000039325	59740415	59768355	59768355	436853	pmepa1	protein_coding
chr6	59860986	59861112	-	0.683032169	-11	59860991	59861002	NA	NA	NA	NA	NA	NA	NA
chr7	729210	729471	+	0.663824418	-22	729315	729293	ENSDARG00000041203	729301	739949	729301	321681	drap1	protein_coding
chr7	1598419	1598566	+	0.616139465	12	1598471	1598483	ENSDARG00000089426	1598483	1602167	1598483	445391	nop10	protein_coding
chr7	1602355	1602445	+	0.798119155	-32	1602411	1602379	NA	NA	NA	NA	NA	NA	NA
chr7	14692096	14692232	+	0.664453011	21	14692154	14692175	ENSDARG00000025797	14692163	14730459	14692163	393888	abhd2a	protein_coding
chr7	23959178	23959372	+	0.660526636	21	23959205	23959226	ENSDARG00000022129	23959223	23962192	23959223	406277	rbm4.3	protein_coding
chr7	23963140	23963455	+	0.698556855	86	23963280	23963366	ENSDARG00000055080	23963174	23967956	23963174	557528	rbm4.2	protein_coding
chr7	23968506	23968622	+	0.624619599	27	23968559	23968586	ENSDARG00000036386	23968556	23973894	23968556	573001	rbm4.1	protein_coding
chr7	25659042	25659112	+	0.664015695	0	25659047	25659047	ENSDARG00000061411	25659057	25672509	25659057	559677	whsc2	protein_coding
chr7	29948913	29949018	+	0.683180625	-28	29949004	29948976	ENSDARG00000010596	29948955	29959574	29948955	492472	slc7a6os	protein_coding
chr7	30432648	30432801	+	0.646699493	-43	30432755	30432712	ENSDARG00000036061	30432702	30446437	30432702	324573	ogfod1	protein_coding
chr7	34236110	34236261	+	0.72866011	86	34236164	34236250	ENSDARG00000079324	34236330	34258507	34236330	559809	ANO9 (1 of 2)	protein_coding
chr7	35639755	35639910	+	0.708378933	40	35639858	35639898	ENSDARG00000036135	35639812	35658308	35639812	572649	bbox1	protein_coding
chr7	36249443	36249646	+	0.653170174	122	36249521	36249643	ENSDARG00000018814	36249509	36276516	36249509	572992	esrp2	protein_coding
chr7	39134399	39134577	+	0.63901244	-36	39134446	39134410	ENSDARG00000008380	39134401	39147445	39134401	406675	brd7	protein_coding
chr7	41131222	41131290	+	0.747852921	57	41131230	41131287	ENSDARG00000003769	41131231	41135078	41131231	554156	tada2b	protein_coding
chr7	42050512	42050697	+	0.665912492	-14	42050536	42050522	ENSDARG00000024092	42050533	42107062	42050533	557300	lmbr1	protein_coding
chr7	53229681	53229765	+	0.814444979	9	53229750	53229759	ENSDARG00000005840	53229682	53249061	53229682	335974	got2b	protein_coding
chr7	54167898	54167958	+	0.678964526	27	54167902	54167929	NA	NA	NA	NA	NA	NA	NA
chr7	56556180	56556276	+	0.637193894	-27	56556253	56556226	ENSDARG00000051851	56556222	56588975	56556222	445166	ctu2	protein_coding
chr7	57213543	57213570	+	0.790697889	23	57213545	57213568	NA	NA	NA	NA	NA	NA	NA
chr7	57690171	57690227	+	0.72290324	7	57690176	57690183	ENSDARG00000078882	57690264	57732027	57690264	570565	CR407583.2	protein_coding
chr7	72245787	72245924	+	0.664920997	63	72245807	72245870	NA	NA	NA	NA	NA	NA	NA
chr7	76822929	76823074	+	0.868280589	0	76823049	76823049	ENSDARG00000076766	76823085	76823497	76823085	100037379	zgc:163061	protein_coding
chr7	6332142	6332288	-	0.702609462	-34	6332214	6332248	ENSDARG00000052482	6227373	6331608	6331608	565268	arhgef11	protein_coding
chr7	19062756	19062879	-	0.625072745	49	19062817	19062768	NA	NA	NA	NA	NA	NA	NA
chr7	32059407	32059495	-	0.759229638	10	32059470	32059460	ENSDARG00000036179	31968738	32059207	32059207	555285	myo1e	protein_coding
chr7	34465011	34465081	-	0.734329525	18	34465077	34465059	ENSDARG00000060169	34454677	34465062	34465062	573382	mns1	protein_coding
chr7	35203350	35203423	-	0.682635236	33	35203421	35203388	NA	NA	NA	NA	NA	NA	NA
chr7	40199877	40199954	-	0.691820646	-41	40199881	40199922	ENSDARG00000036040	40185935	40199929	40199929	393405	atg13	protein_coding
chr7	40771429	40771629	-	0.66976375	36	40771591	40771555	ENSDARG00000086905	40765224	40771350	40771350	560601	SLC24A6	protein_coding
chr7	45692773	45692943	-	0.678094092	29	45692853	45692824	ENSDARG00000035924	45662903	45692857	45692857	573266	dync1li2	protein_coding
chr7	49853084	49853289	-	0.629877757	-94	49853101	49853195	NA	NA	NA	NA	NA	NA	NA
chr7	52089780	52089911	-	0.659913418	39	52089878	52089839	NA	NA	NA	NA	NA	NA	NA
chr7	52219410	52219608	-	0.656481856	88	52219580	52219492	ENSDARG00000078888	52100942	52219371	52219371	100002928	iqgap1	protein_coding
chr7	53094809	53094880	-	0.757587789	44	53094879	53094835	ENSDARG00000014690	53088995	53094879	53094879	449547	rps4x	protein_coding
chr7	54408758	54408807	-	0.702138215	18	54408807	54408789	ENSDARG00000005374	54392211	54408828	54408828	557155	TUBGCP4	protein_coding
chr7	54779542	54779631	-	0.640348764	63	54779629	54779566	ENSDARG00000068102	54755948	54779600	54779600	767645	zgc:153993	protein_coding
chr7	58098520	58098584	-	0.685779139	55	58098582	58098527	ENSDARG00000019595	58094144	58098806	58098806	565126	SENP8	protein_coding
chr7	58754368	58754408	-	0.661882409	-17	58754381	58754398	ENSDARG00000035819	58730364	58754422	58754422	558775	sirt3	protein_coding
chr7	60827631	60827745	-	0.649449777	-25	60827649	60827674	ENSDARG00000068246	60732191	60827674	60827674	100001532	plcb3	protein_coding
chr7	65726684	65726755	-	0.669839091	50	65726752	65726702	ENSDARG00000059572	65719180	65726712	65726712	100126013	NAGK	protein_coding
chr7	75143728	75143889	-	0.752563324	-48	75143821	75143869	ENSDARG00000033861	75125540	75143821	75143821	393123	sepsecs	protein_coding
chr8	735435	735557	+	0.862922394	-31	735485	735454	ENSDARG00000078817	735571	778132	735571	572413	RNF165 (2 of 2)	protein_coding
chr8	2022064	2022147	+	0.67866037	28	2022103	2022131	ENSDARG00000038518	2022107	2039068	2022107	553460	snap29	protein_coding
chr8	2705121	2705227	+	0.688749025	-22	2705178	2705156	ENSDARG00000043554	2705133	2710894	2705133	447873	mrpl40	protein_coding
chr8	5012371	5012705	+	0.690709499	8	5012439	5012447	ENSDARG00000030981	5012447	5022210	5012447	553545	tmem127	protein_coding
chr8	8711055	8711132	+	0.634970756	45	8711059	8711104	ENSDARG00000032990	8711118	8827388	8711118	NA	plxnb3	protein_coding
chr8	15503885	15504091	+	0.619895306	60	15503995	15504055	ENSDARG00000020131	15503957	15597524	15503957	445240	fnbp1l	protein_coding
chr8	17703945	17704051	+	0.716095749	-31	17704043	17704012	ENSDARG00000005057	17704010	17712441	17704010	445162	dimt1l	protein_coding
chr8	20993141	20993278	+	0.664960557	-29	20993200	20993171	ENSDARG00000026986	20993152	21009564	20993152	564551	rexo1	protein_coding
chr8	21697139	21697222	+	0.749627896	-25	21697222	21697197	ENSDARG00000023309	21697140	21700780	21697140	100005939	spryd4	protein_coding
chr8	24467963	24468387	+	0.622469347	13	24468104	24468117	ENSDARG00000052379	24468075	24490974	24468075	556259	CCDC22	protein_coding
chr8	24714352	24714433	+	0.688454577	10	24714404	24714414	ENSDARG00000073997	24714404	24732338	24714404	323679	srpk1a	protein_coding
chr8	25150457	25150575	+	0.625385931	7	25150493	25150500	NA	NA	NA	NA	NA	NA	NA
chr8	27285581	27285595	+	0.603704095	13	27285582	27285595	ENSDARG00000055970	27285582	27302774	27285582	678599	zgc:136971	protein_coding
chr8	52198882	52198988	+	0.629396972	30	52198938	52198968	ENSDARG00000012378	52198964	52231554	52198964	321587	naa35	protein_coding
chr8	53008435	53008584	+	0.677780948	-26	53008508	53008482	ENSDARG00000088388	53008620	53071611	53008620	NA	BIN3 (1 of 2)	protein_coding
chr8	53222223	53222293	+	0.773738582	12	53222229	53222241	ENSDARG00000007359	53222229	53231342	53222229	393270	UBL4B	protein_coding
chr8	54562610	54562733	+	0.736926749	-19	54562714	54562695	ENSDARG00000015057	54562674	54576398	54562674	100001914	ube2d4	protein_coding
chr8	54593240	54593443	+	0.754466097	71	54593246	54593317	ENSDARG00000016016	54593276	54629055	54593276	553729	dbnl	protein_coding
chr8	499129	499229	-	0.639582189	16	499197	499181	ENSDARG00000046024	497951	499154	499154	393566	WIBG	protein_coding
chr8	5188437	5188518	-	0.656304837	15	5188496	5188481	NA	NA	NA	NA	NA	NA	NA
chr8	5484813	5484945	-	0.707893706	-53	5484823	5484876	ENSDARG00000021996	5450671	5484281	5484281	558752	PPP2R2A (2 of 2)	protein_coding
chr8	16510865	16510989	-	0.664286332	8	16510904	16510896	ENSDARG00000092194	16342400	16510917	16510917	NA	zgc:112522	protein_coding
chr8	17687167	17687234	-	0.653785598	-43	17687170	17687213	ENSDARG00000079823	17682894	17687230	17687230	567309	MRPS36	protein_coding
chr8	19838324	19838547	-	0.71211471	26	19838470	19838444	NA	NA	NA	NA	NA	NA	NA
chr8	20676027	20676251	-	0.689431226	31	20676150	20676119	ENSDARG00000013575	20611005	20676269	20676269	503590	rfx2	protein_coding
chr8	21641081	21641272	-	0.715997208	15	21641271	21641256	NA	NA	NA	NA	NA	NA	NA
chr8	25643885	25644162	-	0.658311765	-6	25644144	25644150	ENSDARG00000073847	25641454	25644018	25644018	798517	rbm15	protein_coding
chr8	27240847	27240966	-	0.729328055	71	27240961	27240890	ENSDARG00000092123	27235547	27241033	27241033	556245	si:dkey-20d21.12	protein_coding
chr8	29127341	29127562	-	0.667564947	42	29127517	29127475	ENSDARG00000012553	29120489	29127495	29127495	415242	rap1a	protein_coding
chr8	29225664	29225851	-	0.651778543	-10	29225770	29225780	ENSDARG00000018430	29204010	29225770	29225770	492362	klhl12	protein_coding
chr8	29240427	29240569	-	0.632509704	46	29240505	29240459	ENSDARG00000042717	29228567	29240284	29240284	406821	adipor1b	protein_coding
chr8	41937196	41937270	-	0.694137589	33	41937268	41937235	ENSDARG00000059629	41917763	41937239	41937239	569819	ASPHD2	protein_coding
chr8	45617155	45617228	-	0.628364101	3	45617188	45617185	NA	NA	NA	NA	NA	NA	NA
chr9	733587	733633	+	0.731096934	-41	733632	733591	ENSDARG00000037203	733625	741273	733625	399645	insig2	protein_coding
chr9	1354402	1354445	+	0.704115574	-38	1354441	1354403	ENSDARG00000076718	1354406	1360178	1354406	557370	PRKRA	protein_coding
chr9	6049810	6049958	+	0.623189172	-45	6049933	6049888	NA	NA	NA	NA	NA	NA	NA
chr9	7497680	7497752	+	0.679512747	-11	7497752	7497741	ENSDARG00000042115	7497690	7545972	7497690	553226	tmem198a	protein_coding
chr9	13505780	13505928	+	0.62944924	9	13505816	13505825	ENSDARG00000019950	13505839	13527559	13505839	555728	als2cr8	protein_coding
chr9	14009698	14009846	+	0.621998651	54	14009738	14009792	ENSDARG00000058207	14009788	14076449	14009788	767646	ABI2 (2 of 2)	protein_coding
chr9	14299596	14299925	+	0.632571957	12	14299618	14299630	ENSDARG00000086317	14299618	14317519	14299618	558404	si:ch211-67e16.4	protein_coding
chr9	30676343	30676431	+	0.68213215	60	30676344	30676404	ENSDARG00000010010	30676344	30681945	30676344	553630	trim13	protein_coding
chr9	34746036	34746230	+	0.663501262	-28	34746185	34746157	ENSDARG00000061759	34746176	34820186	34746176	569277	kdm6a	protein_coding
chr9	35290600	35290757	+	0.797095977	77	35290652	35290729	ENSDARG00000007996	35290637	35323921	35290637	323702	pou2f1b	protein_coding
chr9	35404322	35404391	+	0.643126364	25	35404323	35404348	ENSDARG00000074225	35404357	35454541	35404357	NA	si:ch211-269e2.1	protein_coding
chr9	42532990	42533154	+	0.618991889	-31	42533057	42533026	ENSDARG00000061062	42532802	42554693	42532802	564612	tmem194b	protein_coding
chr9	49220077	49220201	+	0.692706365	-22	49220131	49220109	ENSDARG00000056128	49220107	49255181	49220107	100148546	fastkd1	protein_coding
chr9	3492975	3493029	-	0.746408776	31	3493029	3492998	ENSDARG00000095577	3487274	3493029	3493029	552960	cybrd1	protein_coding
chr9	7033057	7033169	-	0.716128833	5	7033112	7033107	ENSDARG00000058780	7004555	7033166	7033166	562904	slc9a2	protein_coding
chr9	10063516	10063621	-	0.624272729	42	10063579	10063537	ENSDARG00000039576	9956905	10063561	10063561	324309	fstl1b	protein_coding
chr9	10292698	10292822	-	0.746612418	-22	10292768	10292790	ENSDARG00000010563	10275670	10292784	10292784	541318	spopla	protein_coding
chr9	22271503	22271616	-	0.620888651	-9	22271566	22271575	ENSDARG00000069920	22269034	22271590	22271590	447914	cox17	protein_coding
chr9	22301805	22301946	-	0.647040064	-14	22301885	22301899	ENSDARG00000057854	22300029	22301921	22301921	393693	sap18	protein_coding
chr9	41946961	41947000	-	0.70118525	35	41947000	41946965	ENSDARG00000045175	41924131	41946977	41946977	777668	pofut2	protein_coding
chr9	49064483	49064617	-	0.660299391	30	49064610	49064580	ENSDARG00000075989	49030697	49064569	49064569	327068	arpc2	protein_coding
chr9	49283897	49284009	-	0.647038272	12	49284007	49283995	ENSDARG00000039827	49272141	49284004	49284004	393269	bbs5	protein_coding
chr9	51239583	51239674	-	0.673636263	54	51239672	51239618	NA	NA	NA	NA	NA	NA	NA
chr9	54431522	54431602	-	0.725086871	47	54431600	54431553	ENSDARG00000009493	54312298	54431531	54431531	568412	MAP3K13	protein_coding
chr9	58048025	58048112	-	0.774779069	-23	58048029	58048052	ENSDARG00000086726	57999658	58048041	58048041	777744	rab3gap1	protein_coding
chr10	95586	95633	+	0.813232972	43	95590	95633	ENSDARG00000032353	95633	102228	95633	393636	tiprl	protein_coding
chr10	3158964	3159082	+	0.659735404	10	3159026	3159036	ENSDARG00000019188	3159004	3164911	3159004	415162	ube2l3a	protein_coding
chr10	3435612	3435786	+	0.652176575	-41	3435725	3435684	ENSDARG00000020334	3435696	3460177	3435696	333979	ptpn11a	protein_coding
chr10	4967870	4967939	+	0.658654192	48	4967871	4967919	ENSDARG00000079815	4967865	4972610	4967865	100002948	LYRM7	protein_coding
chr10	6191253	6191647	+	0.663317749	-51	6191406	6191355	ENSDARG00000053020	6191318	6215881	6191318	406582	ppp2cb	protein_coding
chr10	6719092	6719246	+	0.634489493	4	6719135	6719139	ENSDARG00000067805	6719139	6751957	6719139	557240	ggcx	protein_coding
chr10	7894062	7894326	+	0.726018264	-27	7894111	7894084	ENSDARG00000088180	7894109	7992183	7894109	100334486	MAP3K1	protein_coding
chr10	16980920	16981015	+	0.689717363	8	16980947	16980955	ENSDARG00000005560	16980964	16985015	16980964	406443	ywhah	protein_coding
chr10	18941157	18941414	+	0.687068667	95	18941294	18941389	ENSDARG00000028067	18941372	18966165	18941372	554650	bnip3lb	protein_coding
chr10	19047345	19047417	+	0.641008907	-45	19047411	19047366	ENSDARG00000027687	19047366	19051796	19047366	445502	C10H20orf30 (2 of 2)	protein_coding
chr10	20398300	20398362	+	0.650947339	18	20398306	20398324	ENSDARG00000057676	20398088	20406075	20398088	798622	golga7	protein_coding
chr10	20671438	20671505	+	0.692077508	52	20671439	20671491	ENSDARG00000077515	20671395	20687191	20671395	100006201	letm2	protein_coding
chr10	24853106	24853386	+	0.623450245	-24	24853212	24853188	ENSDARG00000062361	24853213	24873742	24853213	563266	GCFC1	protein_coding
chr10	25121734	25122017	+	0.695046774	75	25121835	25121910	ENSDARG00000056985	25121730	25139152	25121730	327292	tpte	protein_coding
chr10	27731530	27731693	+	0.82814502	64	27731541	27731605	ENSDARG00000043658	27731536	27793733	27731536	791793	cxadr	protein_coding
chr10	38601871	38601897	+	0.772447793	13	38601875	38601888	ENSDARG00000004184	38602081	38728184	38602081	564518	nf1a	protein_coding
chr10	44884889	44884988	+	0.722349516	10	44884942	44884952	ENSDARG00000073665	44884951	44928620	44884951	564822	rasa1b	protein_coding
chr10	46298790	46298832	+	0.64061357	21	46298805	46298826	ENSDARG00000042517	46298802	46304111	46298802	553711	mrps24	protein_coding
chr10	206893	206933	-	0.672885171	7	206933	206926	ENSDARG00000075650	202083	206924	206924	445026	DSCR3	protein_coding
chr10	275726	275823	-	0.742737722	-87	275727	275814	ENSDARG00000040620	272101	275808	275808	436987	psmg1	protein_coding
chr10	2709510	2709545	-	0.620685065	22	2709545	2709523	ENSDARG00000038315	2707271	2709390	2709390	561030	PDXP	protein_coding
chr10	2740402	2740501	-	0.814624815	47	2740479	2740432	ENSDARG00000006253	2722656	2740432	2740432	560884	MIER3 (2 of 2)	protein_coding
chr10	6800815	6800925	-	0.647617197	43	6800923	6800880	NA	NA	NA	NA	NA	NA	NA
chr10	9982205	9982368	-	0.7189245	70	9982312	9982242	NA	NA	NA	NA	NA	NA	NA
chr10	11318965	11319071	-	0.6657308	-54	11318990	11319044	ENSDARG00000063194	11293251	11318997	11318997	560688	lin54	protein_coding
chr10	15434067	15434138	-	0.690401086	46	15434138	15434092	ENSDARG00000016769	15410546	15434138	15434138	431772	sgta	protein_coding
chr10	17741070	17741563	-	0.734344339	-50	17741474	17741524	ENSDARG00000074858	17730236	17740971	17740971	564572	STARD7	protein_coding
chr10	27620641	27620724	-	0.66300107	-65	27620642	27620707	ENSDARG00000030805	27617747	27620724	27620724	777606	znhit2	protein_coding
chr10	28799253	28799538	-	0.659245857	-23	28799464	28799487	ENSDARG00000053884	28711823	28799521	28799521	NA	med13	protein_coding
chr10	30659763	30659816	-	0.746029718	0	30659782	30659782	ENSDARG00000036338	30642285	30659812	30659812	565852	zgc:112329	protein_coding
chr10	34206618	34206628	-	0.7433199	5	34206626	34206621	NA	NA	NA	NA	NA	NA	NA
chr10	34279966	34280005	-	0.782505602	5	34279974	34279969	ENSDARG00000026709	34198947	34279922	34279922	406444	bcl7ba	protein_coding
chr10	37235549	37235582	-	0.718627019	-26	37235553	37235579	NA	NA	NA	NA	NA	NA	NA
chr10	40050464	40050643	-	0.631007409	-40	40050510	40050550	ENSDARG00000045888	40027263	40050577	40050577	445290	acat1	protein_coding
chr10	42764504	42764663	-	0.694294634	-38	42764556	42764594	ENSDARG00000019897	42726956	42764615	42764615	678522	AGPAT6	protein_coding
chr10	43271605	43271727	-	0.742891218	-32	43271690	43271722	NA	NA	NA	NA	NA	NA	NA
chr10	46470443	46470559	-	0.951083557	-115	46470444	46470559	NA	NA	NA	NA	NA	NA	NA
chr10	46548701	46548890	-	0.650036093	-31	46548751	46548782	NA	NA	NA	NA	NA	NA	NA
chr11	45036	45163	+	0.706564579	-21	45081	45060	NA	NA	NA	NA	NA	NA	NA
chr11	2130837	2130894	+	0.682459302	29	2130840	2130869	ENSDARG00000063611	2130843	2135870	2130843	570901	SMUG1	protein_coding
chr11	2575121	2575378	+	0.661383272	-61	2575261	2575200	NA	NA	NA	NA	NA	NA	NA
chr11	2628784	2628967	+	0.610884366	-52	2628914	2628862	NA	NA	NA	NA	NA	NA	NA
chr11	2834345	2834378	+	0.704250196	-23	2834378	2834355	ENSDARG00000009733	2834655	2913146	2834655	570502	KIF21B	protein_coding
chr11	11097862	11097901	+	0.606934827	-38	11097901	11097863	NA	NA	NA	NA	NA	NA	NA
chr11	12869783	12869838	+	0.637690837	-16	12869816	12869800	ENSDARG00000035074	12869838	12917195	12869838	503732	RTEL1	protein_coding
chr11	16537350	16537393	+	0.666080748	22	16537353	16537375	ENSDARG00000058220	16536981	16550705	16536981	334785	tada3l	protein_coding
chr11	19854202	19854322	+	0.641928889	45	19854250	19854295	ENSDARG00000037593	19854555	19888898	19854555	368250	prickle2	protein_coding
chr11	25754157	25754376	+	0.645510228	-121	25754295	25754174	ENSDARG00000057093	25754101	25785015	25754101	327168	kdm5ba	protein_coding
chr11	25977632	25977724	+	0.682261262	42	25977633	25977675	ENSDARG00000002750	25977642	25995750	25977642	563332	phf20a	protein_coding
chr11	27296996	27297093	+	0.642014336	-45	27297042	27296997	ENSDARG00000061889	27296994	27303108	27296994	561272	ppcs	protein_coding
chr11	44607354	44607440	+	0.658510182	11	44607366	44607377	NA	NA	NA	NA	NA	NA	NA
chr11	45468431	45468584	+	0.664333808	-39	45468507	45468468	NA	NA	NA	NA	NA	NA	NA
chr11	46299189	46299280	+	0.727143454	11	46299239	46299250	NA	NA	NA	NA	NA	NA	NA
chr11	883654	883707	-	0.688501651	12	883671	883659	NA	NA	NA	NA	NA	NA	NA
chr11	11746574	11746673	-	0.836368001	37	11746645	11746608	ENSDARG00000074508	11718450	11746419	11746419	100001887	HAP1	protein_coding
chr11	18649948	18650072	-	0.689212636	46	18650017	18649971	NA	NA	NA	NA	NA	NA	NA
chr11	19220636	19220692	-	0.680182352	-25	19220647	19220672	ENSDARG00000002037	19205192	19220171	19220171	564852	PFKFB2 (1 of 2)	protein_coding
chr11	21287563	21287775	-	0.789276439	13	21287614	21287601	ENSDARG00000074853	21273156	21287616	21287616	100329721	CNNM3	protein_coding
chr11	26667034	26667243	-	0.788778667	-152	26667091	26667243	NA	NA	NA	NA	NA	NA	NA
chr11	36416496	36416588	-	0.815816932	-30	36416555	36416585	NA	NA	NA	NA	NA	NA	NA
chr11	38614158	38614337	-	0.632731153	12	38614251	38614239	ENSDARG00000068635	38608116	38614278	38614278	791211	MRPS2	protein_coding
chr11	40352423	40352518	-	0.611550027	-17	40352490	40352507	ENSDARG00000078805	40346238	40352315	40352315	NA	CU210919.2	protein_coding
